year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
2015,,,,,automatic,3gnal3ek7fs502178,il,3,10679,white,black,gm remarketing,17750,18400,Thu Feb 19 2015 03:00:00 GMT-0800 (PST)
2011,Toyota,RAV4,Base,SUV,automatic,jtmzf4dv9b5039890,pr,31,38742,gray,gray,toyota credit de puerto rico,13900,12200,Thu Feb 26 2015 03:00:00 GMT-0800 (PST)
2013,Ford,Edge,SEL,suv,automatic,2fmdk3jc0dba37345,tn,47,41814,white,gray,ars/ford-lincoln dealer program,19850,20600,Wed Jun 03 2015 03:00:00 GMT-0700 (PDT)
2010,Chevrolet,Silverado 1500,LTZ,Crew Cab,automatic,3gcrcte08ag219732,tx,37,105445,blue,gray,d&m leasing,17000,16900,Tue Dec 23 2014 10:10:00 GMT-0800 (PST)
2009,Jeep,Patriot,Sport,SUV,automatic,1j4ft28b89d211126,md,4,39628,white,gray,lease plan usa,8325,4200,Tue Jan 13 2015 13:00:00 GMT-0800 (PST)
2012,Ford,Escape,XLT,suv,automatic,1fmcu0d75ckb38131,ny,44,13932,silver,black,ford motor credit company llc,15950,15000,Wed Jun 17 2015 02:20:00 GMT-0700 (PDT)
2007,Honda,Odyssey,EX-L,Minivan,automatic,5fnrl38777b070947,tn,31,181784,gray,gray,wells fargo dealer services,4475,4400,Tue Dec 23 2014 10:30:00 GMT-0800 (PST)
2012,Chevrolet,Impala,LT Fleet,Sedan,automatic,2g1wg5e30c1114894,ca,19,76098,silver,gray,california fleet inc,8400,8500,Thu Mar 05 2015 04:00:00 GMT-0800 (PST)
2014,Jeep,Compass,Sport,SUV,,1c4njdbb9ed773915,va,4,15885,black,black,enterprise vehicle exchange/non program,16600,16100,Thu Dec 18 2014 08:45:00 GMT-0800 (PST)
2003,Honda,Accord,LX,sedan,automatic,jhmcm56333c081142,wa,33,116850,silver,black,acura of seattle,3550,5500,Wed Jun 03 2015 06:20:00 GMT-0700 (PDT)
2013,BMW,6 Series Gran Coupe,650i xDrive,sedan,,wba6b4c5xdd098257,pa,41,30058,white,brown,dodge of paramus inc,55300,57600,Fri Jun 19 2015 02:00:00 GMT-0700 (PDT)
2003,Nissan,Murano,SL,suv,automatic,jn8az08w83w206949,wi,19,191521,blue,beige,felt & lukes llc,2550,3000,Wed Jun 03 2015 03:00:00 GMT-0700 (PDT)
2013,Honda,Accord,EX-L,Coupe,,1hgct1b89da010394,nc,44,17163,white,beige,medlin buick gmc mazda,19350,20000,Tue Jan 27 2015 01:15:00 GMT-0800 (PST)
2006,Pontiac,Torrent,Base,SUV,,2ckdl73f066087019,qc,31,143234,white,beige,kia st eustache enr,3500,3900,Tue Jan 20 2015 02:00:00 GMT-0800 (PST)
2014,Chevrolet,Malibu,LT,sedan,automatic,1g11c5sl5ef303434,mi,49,13217,black,black,gm financial,15550,16200,Thu Jun 18 2015 02:30:00 GMT-0700 (PDT)
2015,Kia,Optima,LX,Sedan,automatic,5xxgm4a72fg395540,fl,49,616,silver,gray,tdaf remarketing,15700,16200,Tue Jan 06 2015 01:00:00 GMT-0800 (PST)
2013,Dodge,Avenger,SE,sedan,automatic,1c3cdzab0dn707683,ca,39,58660,white,black,the hertz corporation,9125,9300,Wed Jun 10 2015 05:30:00 GMT-0700 (PDT)
2008,Nissan,Sentra,2,Sedan,automatic,3n1ab61e58l732024,il,,93443,blue,—,phillips chevrolet inc,4875,4700,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
2012,Jeep,Grand Cherokee,Laredo,SUV,,1c4rjfag1cc127779,fl,39,38619,black,black,coral cadillac inc,23100,24200,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
2012,Dodge,Grand Caravan,SXT,Minivan,automatic,2c4rdgcg7cr372071,fl,36,65271,silver,black,the hertz corporation,10550,9900,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
2014,Audi,Q5,3.0T Premium Plus quattro,suv,automatic,wa1dgafp5ea061282,ca,46,15608,black,black,mountain motors inc,40600,41500,Thu Jun 18 2015 05:30:00 GMT-0700 (PDT)
2012,Suzuki,Grand Vitara,Premium,SUV,automatic,js3te0d28c4100436,nc,4,50898,gold,beige,remarketing by ge/flagship credit acceptance,7950,8200,Tue Jan 27 2015 01:15:00 GMT-0800 (PST)
2013,Mazda,Mazda3,i SV,Sedan,automatic,jm1bl1tf0d1732277,ga,37,62246,gray,black,young motors llc,9650,10300,Tue Jan 13 2015 09:30:00 GMT-0800 (PST)
2010,Dodge,Grand Caravan,Hero,Minivan,automatic,2d4rn3d13ar411755,ga,41,141649,—,blue,ge fleet services for itself/servicer,5275,6100,Tue Feb 10 2015 05:10:00 GMT-0800 (PST)
2013,Chevrolet,Spark,1LT,hatchback,automatic,kl8cd6s95dc524824,fl,28,49325,blue,black,the hertz corporation,7550,7500,Tue Jun 02 2015 02:15:00 GMT-0700 (PDT)
2002,Toyota,Highlander,Limited,SUV,automatic,jtegf21a220067794,fl,2,138664,blue,gray,d&a fine cars,6500,5300,Tue Feb 03 2015 01:20:00 GMT-0800 (PST)
2006,Nissan,Altima,2.5 S,sedan,automatic,1n4al11d26n343493,fl,19,72005,gray,beige,autonation nissan kendall,4200,4800,Tue Jun 16 2015 10:30:00 GMT-0700 (PDT)
2010,Chevrolet,Equinox,LT1,SUV,automatic,2cnaldew1a6388313,tx,27,100369,black,black,regional acceptance corporation / greensboro,9175,7200,Tue Feb 03 2015 03:00:00 GMT-0800 (PST)
2013,Chevrolet,Malibu,LT,Sedan,automatic,1g11e5sa5du142800,oh,46,36401,blue,black,midwest car corporation/ally financial,13150,13000,Tue Feb 03 2015 01:30:00 GMT-0800 (PST)
2002,Volkswagen,New Beetle,GLS 1.8T,Hatchback,automatic,3vwcd21c42m420900,md,32,111072,orange,black,carbiz,2125,3250,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
2008,Mitsubishi,Lancer Evolution,MR,Sedan,,ja3aw56v78u051498,pa,29,61377,red,black,alans autos,20000,14000,Tue Jun 30 2015 06:30:00 GMT-0700 (PDT)
2012,Chrysler,Town and Country,Touring,Minivan,,2c4rc1bg1cr381754,pa,35,69510,silver,black,the hertz corporation,12750,12400,Fri Jan 30 2015 01:00:00 GMT-0800 (PST)
2012,BMW,3 Series,328i,Sedan,,wba3a5g56cnp17385,ca,45,19896,blue,brown,financial services remarketing/rail cars,25100,24000,Wed May 27 2015 05:30:00 GMT-0700 (PDT)
2010,Toyota,RAV4,Limited,SUV,automatic,jtmdf4dv2ad029734,md,33,71435,silver,gray,santander consumer,14200,13800,Tue Feb 03 2015 01:30:00 GMT-0800 (PST)
2014,Dodge,Charger,SE,Sedan,automatic,2c3cdxbg3eh265426,pa,4,15886,gray,black,hertz corporation/gdp,16500,16200,Thu Jan 22 2015 01:30:00 GMT-0800 (PST)
2013,Hyundai,Sonata,GLS,sedan,,5npeb4ac7dh545847,pa,29,45661,black,gray,hyundai motor finance,11150,10300,Fri Jun 12 2015 02:00:00 GMT-0700 (PDT)
2011,Toyota,Corolla,LE,Sedan,automatic,2t1bu4ee7bc690587,oh,35,30754,black,gray,toyota financial services,10100,9900,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
2013,Chrysler,300,S,Sedan,automatic,2c3ccabt9dh652753,tx,44,9019,black,black,texas auto brokers,25100,26100,Wed Feb 11 2015 02:00:00 GMT-0800 (PST)
2013,Chevrolet,Impala,LS Fleet,Sedan,automatic,2g1wf5e31d1261617,pa,28,51410,white,black,dtg operations inc,11550,11900,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
